Address,Street Number,Street Direction,Street Name,Street Type,Zip Code,Lat,Lot,HT Score,Nearest Transit,Distance to Nearest Transity,Density 2010,Density 2012
5116 S CARPENTER ST chicago IL 60609,5116,S,CARPENTER,ST,60609,41.80120374,-87.65140854,43.11,Garfield-Red,1.5,6.28,6.55
3818 S STATE ST chicago IL 60609,3818,S,STATE,ST,60609,41.82520764,-87.62642734,28.01,Indiana,0.48,12.56,12.26
5150 S ASHLAND AVE chicago IL 60609,5150,S,ASHLAND,AVE,60609,41.80131822,-87.66477648,38.33,Western-Orange,1.36,9.19,10.06
5205 S ASHLAND AVE chicago IL 60609,5205,S,ASHLAND,AVE,60609,41.79940278,-87.66472862,36.46,Western-Orange,1.42,8.16,9.03
5242 S ASHLAND AVE chicago IL 60609,5242,S,ASHLAND,AVE,60609,41.79872181,-87.66470966,36.65,Western-Orange,1.44,7.86,8.83
5120 S PAULINA ST chicago IL 60609,5120,S,PAULINA,ST,60609,41.80092744,-87.66720262,37.76,Western-Orange,1.21,9.28,10.29
5125 S PAULINA ST chicago IL 60609,5125,S,PAULINA,ST,60609,41.80083549,-87.66720027,37.78,Western-Orange,1.21,9.22,10.25
5156 S PAULINA ST chicago IL 60609,5156,S,PAULINA,ST,60609,41.80026509,-87.66718442,37.91,Western-Orange,1.23,8.94,9.99
5203 S PAULINA ST chicago IL 60609,5203,S,PAULINA,ST,60609,41.79941861,-87.66716128,37.99,Western-Orange,1.26,8.62,9.62
5207 S PAULINA ST chicago IL 60609,5207,S,PAULINA,ST,60609,41.79934478,-87.66715948,37.99,Western-Orange,1.26,8.6,9.59
5208 S PAULINA ST chicago IL 60609,5208,S,PAULINA,ST,60609,41.79932639,-87.66715893,37.99,Western-Orange,1.26,8.59,9.58
5209 S PAULINA ST chicago IL 60609,5209,S,PAULINA,ST,60609,41.799308,-87.66715839,37.99,Western-Orange,1.26,8.59,9.58
5216 S PAULINA ST chicago IL 60609,5216,S,PAULINA,ST,60609,41.799179,-87.66715459,37.99,Western-Orange,1.27,8.54,9.52
5224 S PAULINA ST chicago IL 60609,5224,S,PAULINA,ST,60609,41.79903133,-87.66715062,37.99,Western-Orange,1.27,8.47,9.47
5228 S PAULINA ST chicago IL 60609,5228,S,PAULINA,ST,60609,41.79895778,-87.66714881,37.98,Western-Orange,1.28,8.44,9.44
5305 S PAULINA ST chicago IL 60609,5305,S,PAULINA,ST,60609,41.79755683,-87.66711017,37.89,Western-Orange,1.34,7.83,9.05
5308 S PAULINA ST chicago IL 60609,5308,S,PAULINA,ST,60609,41.79750166,-87.66710854,37.88,Western-Orange,1.34,7.82,9.04
5316 S PAULINA ST chicago IL 60609,5316,S,PAULINA,ST,60609,41.79735427,-87.66710457,37.87,Western-Orange,1.35,7.79,9.02
5317 S PAULINA ST chicago IL 60609,5317,S,PAULINA,ST,60609,41.79733588,-87.66710402,37.87,Western-Orange,1.35,7.79,9.02
5321 S PAULINA ST chicago IL 60609,5321,S,PAULINA,ST,60609,41.79726233,-87.66710222,37.86,Western-Orange,1.35,7.78,9.01
5334 S PAULINA ST chicago IL 60609,5334,S,PAULINA,ST,60609,41.79702271,-87.6670959,37.78,Western-Orange,1.36,7.73,8.98
5419 S PAULINA ST chicago IL 60609,5419,S,PAULINA,ST,60609,41.7954744,-87.66705492,37,Western-Orange,1.44,7.53,8.89
5425 S PAULINA ST chicago IL 60609,5425,S,PAULINA,ST,60609,41.79536352,-87.66705203,36.99,Western-Orange,1.45,7.51,8.87
5417 S PAULINA ST chicago IL 60609,5417,S,PAULINA,ST,60609,41.79551146,-87.66705564,37.02,Western-Orange,1.44,7.54,8.89
5124 S PAULINA ST chicago IL 60609,5124,S,PAULINA,ST,60609,41.80085388,-87.66720081,37.78,Western-Orange,1.21,9.24,10.26
5130 S PAULINA ST chicago IL 60609,5130,S,PAULINA,ST,60609,41.80074354,-87.66719756,37.8,Western-Orange,1.22,9.17,10.21
5143 S MARSHFIELD AVE chicago IL 60609,5143,S,MARSHFIELD,AVE,60609,41.8005138,-87.66597781,37.33,Western-Orange,1.3,8.94,9.91
5144 S MARSHFIELD AVE chicago IL 60609,5144,S,MARSHFIELD,AVE,60609,41.80049541,-87.66597726,37.33,Western-Orange,1.3,8.93,9.9
5126 S MARSHFIELD AVE chicago IL 60609,5126,S,MARSHFIELD,AVE,60609,41.80082753,-87.66598739,37.41,Western-Orange,1.29,9.12,10.06
5220 S MARSHFIELD AVE chicago IL 60609,5220,S,MARSHFIELD,AVE,60609,41.79911315,-87.66593589,37.26,Western-Orange,1.35,8.28,9.21
5231 S MARSHFIELD AVE chicago IL 60609,5231,S,MARSHFIELD,AVE,60609,41.79891087,-87.66593029,37.25,Western-Orange,1.36,8.18,9.14
5236 S MARSHFIELD AVE chicago IL 60609,5236,S,MARSHFIELD,AVE,60609,41.79881892,-87.66592757,37.24,Western-Orange,1.36,8.14,9.11
4500 S ST LAWRENCE AVE chicago IL 60653,4500,S,ST LAWRENCE,AVE,60653,41.8130964,-87.61154421,52.14,43rd,0.6,14.02,10.74
4600 S EVANS AVE chicago IL 60653,4600,S,EVANS,AVE,60653,41.81133523,-87.60785191,34.21,47th-Green,0.78,15.68,12.05
212 E 41ST ST chicago IL 60653,212,E,41ST,ST,60653,41.82017232,-87.62131058,33.19,Indiana,0.14,13.74,12.2
4843 S UNION AVE chicago IL 60609,4843,S,UNION,AVE,60609,41.80602497,-87.64303452,44.36,47th-Red,0.93,7.08,6.39
1648 W GARFIELD BLVD chicago IL 60609,1648,W,GARFIELD,BLVD,60609,41.79400837,-87.6660896,38.93,Ashland/63rd,1.41,7.29,8.63
755 E OAKWOOD BLVD chicago IL 60653,755,E,OAKWOOD,BLVD,60653,41.82272038,-87.60816519,48.13,Indiana,0.92,13.83,13.34
5202 S WOOD ST chicago IL 60609,5202,S,WOOD,ST,60609,41.79942114,-87.66959583,37.53,Western-Orange,1.11,8.79,9.88
5140 S LOOMIS BLVD chicago IL 60609,5140,S,LOOMIS,BLVD,60609,41.8006474,-87.65989936,38.94,Western-Orange,1.71,8.1,8.77
4524 S ASHLAND AVE chicago IL 60609,4524,S,ASHLAND,AVE,60609,41.8117858,-87.66505314,31.23,Western-Orange,1.47,15.4,15.67
1235 E 46TH ST chicago IL 60653,1235,E,46TH,ST,60653,41.81099458,-87.59605526,49.68,47th St. (Kenwood) Metra,0.34,13.5,12.35
4541 S CHAMPLAIN AVE chicago IL 60653,4541,S,CHAMPLAIN,AVE,60653,41.81237058,-87.60989321,34.55,47th-Green,0.68,14.94,11.27
4408 S PRAIRIE AVE chicago IL 60653,4408,S,PRAIRIE,AVE,60653,41.81463002,-87.6197392,44.72,43rd,0.18,12.63,12.02
2214 W 54TH PL chicago IL 60609,2214,W,54TH,PL,60609,41.79478038,-87.68032272,39.24,Western-Orange,0.94,7.72,8.11
822 W 51ST PL chicago IL 60609,822,W,51ST,PL,60609,41.80066312,-87.64586125,37.37,Garfield-Red,1.13,6.16,6.23
5430 S UNION AVE chicago IL 60609,5430,S,UNION,AVE,60609,41.79528856,-87.64275353,40.47,Garfield-Red,0.8,5.57,6.28
5351 S PEORIA ST chicago IL 60609,5351,S,PEORIA,ST,60609,41.79664363,-87.64767736,38.26,Garfield-Red,1.15,6.26,6.86
740 E 41ST ST chicago IL 60653,740,E,41ST,ST,60653,41.82035964,-87.60842311,36.94,43rd,0.82,13.34,11.66
3632 S GILES AVE chicago IL 60653,3632,S,GILES,AVE,60653,41.82862251,-87.61928028,35.01,35-Bronzeville-IIT,0.53,17.17,16.97
4578 S OAKENWALD AVE chicago IL 60653,4578,S,OAKENWALD,AVE,60653,41.81198494,-87.59405748,48.44,47th St. (Kenwood) Metra,0.28,13.78,12.82
428 E 47TH ST chicago IL 60653,428,E,47TH,ST,60653,41.80939905,-87.61562677,36.02,47th-Green,0.22,12.06,11.56
520 E 45TH ST chicago IL 60653,520,E,45TH,ST,60653,41.81306799,-87.61320275,52.38,43rd,0.51,13.24,10.34
3350 S INDIANA AVE chicago IL 60616,3350,S,INDIANA,AVE,60616,41.83379138,-87.62181981,33.7,35-Bronzeville-IIT,0.34,18.44,20.82
67 E 37TH PL chicago IL 60653,67,E,37TH,PL,60653,41.82648084,-87.62416372,26.45,Indiana,0.48,13.81,13.71
4227 S WENTWORTH AVE chicago IL 60609,4227,S,WENTWORTH,AVE,60609,41.81736756,-87.63121837,27.07,47th-Red,0.65,9.39,10.47
4839 S WOOD ST chicago IL 60609,4839,S,WOOD,ST,60609,41.80602076,-87.6697637,35.73,Western-Orange,1,12.9,13.41
5412 S LOOMIS BLVD chicago IL 60609,5412,S,LOOMIS,BLVD,60609,41.7955915,-87.65976965,38.87,Ashland/63rd,1.58,7.03,8.25
2212 W 54TH PL chicago IL 60609,2212,W,54TH,PL,60609,41.79478094,-87.68027577,39.37,Western-Orange,0.94,7.71,8.11
3325 S GILES AVE chicago IL 60616,3325,S,GILES,AVE,60616,41.83426754,-87.61940079,32.05,35-Bronzeville-IIT,0.51,20.29,21.7
4722 S LAFLIN ST chicago IL 60609,4722,S,LAFLIN,ST,60609,41.80823141,-87.66252343,31.93,Western-Orange,1.53,12.03,12.43
5150 S PAULINA ST chicago IL 60609,5150,S,PAULINA,ST,60609,41.8012955,-87.66721274,37.67,Western-Orange,1.2,9.46,10.45
5212 S MARSHFIELD AVE chicago IL 60609,5212,S,MARSHFIELD,AVE,60609,41.79926,-87.66594023,37.26,Western-Orange,1.34,8.36,9.27
3363 S GILES AVE chicago IL 60616,3363,S,GILES,AVE,60616,41.83354856,-87.61938557,31.84,35-Bronzeville-IIT,0.48,19.91,21.56
3401 S GILES AVE chicago IL 60616,3401,S,GILES,AVE,60616,41.83284923,-87.61937059,31.84,35-Bronzeville-IIT,0.46,19.51,21.19
3403 S GILES AVE chicago IL 60616,3403,S,GILES,AVE,60616,41.83281327,-87.61936989,31.84,35-Bronzeville-IIT,0.46,19.5,21.16
1650 W 51ST ST chicago IL 60609,1650,W,51ST,ST,60609,41.80130427,-87.66632756,37.49,Western-Orange,1.26,9.37,10.31
4639 S UNION AVE chicago IL 60609,4639,S,UNION,AVE,60609,41.80972261,-87.64314008,35.3,47th-Red,0.85,8.22,7.98
4546 S INDIANA AVE chicago IL 60653,4546,S,INDIANA,AVE,60653,41.81210698,-87.62128715,43.46,47th-Green,0.32,11.59,11.47
5044 S LAFLIN ST chicago IL 60609,5044,S,LAFLIN,ST,60609,41.80236132,-87.66237364,43.26,Western-Orange,1.51,9.09,9.94
5417 S DAMEN AVE chicago IL 60609,5417,S,DAMEN,AVE,60609,41.79529776,-87.67434127,42.93,Western-Orange,1.09,7.6,8.75
5231 S ASHLAND AVE chicago IL 60609,5231,S,ASHLAND,AVE,60609,41.79892437,-87.66471526,36.53,Western-Orange,1.43,7.94,8.88
1158 W 47TH PL chicago IL 60609,1158,W,47TH,PL,60609,41.80783367,-87.65421596,40.13,47th-Red,1.63,8.36,8.46
4810 S LOOMIS BLVD chicago IL 60609,4810,S,LOOMIS,BLVD,60609,41.80666296,-87.66005366,37.4,Western-Orange,1.67,9.74,9.99
4926 S MARSHFIELD AVE chicago IL 60609,4926,S,MARSHFIELD,AVE,60609,41.80439619,-87.66608691,34.56,Western-Orange,1.24,11.15,11.71
3800 S STATE ST chicago IL 60609,3800,S,STATE,ST,60609,41.8255397,-87.62642845,27.73,Indiana,0.5,12.42,12.11
3657 S EMERALD AVE chicago IL 60609,3657,S,EMERALD,AVE,60609,41.82789032,-87.64481984,40.22,Sox-35th,1.03,11.84,11.48
4336 S BERKELEY AVE chicago IL 60653,4336,S,BERKELEY,AVE,60653,41.81622194,-87.6006171,49.3,47th St. (Kenwood) Metra,0.88,14.93,11.25
4337 S BERKELEY AVE chicago IL 60653,4337,S,BERKELEY,AVE,60653,41.81620355,-87.60061694,49.41,47th St. (Kenwood) Metra,0.88,14.94,11.26
5153 S LAFLIN ST chicago IL 60609,5153,S,LAFLIN,ST,60609,41.80037534,-87.66232179,37.85,Western-Orange,1.55,8.35,9.24
5447 S MORGAN ST chicago IL 60609,5447,S,MORGAN,ST,60609,41.79472623,-87.65002998,40.28,Garfield-Red,1.31,6.45,7.55
5200 S WOOD ST chicago IL 60609,5200,S,WOOD,ST,60609,41.79945792,-87.66959692,37.53,Western-Orange,1.1,8.8,9.9
232 W SWANN ST chicago IL 60609,232,W,SWANN,ST,60609,41.80987176,-87.63224785,34.28,47th-Red,0.1,7.85,11.38
3423 S COTTAGE GROVE AVE chicago IL 60616,3423,S,COTTAGE GROVE,AVE,60616,41.83224846,-87.61102629,36.13,35-Bronzeville-IIT,1.03,20.1,19.57
4847 S SEELEY AVE chicago IL 60609,4847,S,SEELEY,AVE,60609,41.80581207,-87.67583276,37.04,Western-Orange,0.58,11.79,12.19
5029 S RACINE AVE chicago IL 60609,5029,S,RACINE,AVE,60609,41.80273899,-87.65509187,38.29,Garfield-Red,1.79,7.41,7.83
3525 S DR MARTIN LUTHER KING JR DR chicago IL 60653,3525,S,DR MARTIN LUTHER KING JR,DR,60653,41.83043142,-87.61726114,29.34,35-Bronzeville-IIT,0.6,19.21,18.84
5428 S MARSHFIELD AVE chicago IL 60609,5428,S,MARSHFIELD,AVE,60609,41.79532233,-87.66583308,36.61,Western-Orange,1.52,7.48,8.84
4247 S ST LAWRENCE AVE chicago IL 60653,4247,S,ST LAWRENCE,AVE,60653,41.81741169,-87.61166137,33.28,43rd,0.52,12.7,10.45
5207 S GREEN ST chicago IL 60609,5207,S,GREEN,ST,60609,41.79965677,-87.64651536,37.6,Garfield-Red,1.13,6.18,6.39
5410 S MAY ST chicago IL 60609,5410,S,MAY,ST,60609,41.79582281,-87.65370462,39.21,Garfield-Red,1.56,6.84,7.82
5001 S WESTERN BLVD chicago IL 60609,5001,S,WESTERN,BLVD,60609,41.80293067,-87.68370374,39.13,Western-Orange,0.15,8.73,9.11
1305 W 51ST ST chicago IL 60609,1305,W,51ST,ST,60609,41.80141393,-87.65768325,38.83,Western-Orange,1.84,7.62,8.16
3400 S GILES AVE chicago IL 60616,3400,S,GILES,AVE,60616,41.83286734,-87.61937112,31.84,35-Bronzeville-IIT,0.46,19.51,21.21
427 E 42ND ST chicago IL 60653,427,E,42ND,ST,60653,41.81845057,-87.61581384,28.72,43rd,0.29,13.11,11.01
4321 S MARSHFIELD AVE chicago IL 60609,4321,S,MARSHFIELD,AVE,60609,41.81547232,-87.66636846,32.98,Western-Orange,1.59,15.99,16.44
3807 S CALUMET AVE chicago IL 60653,3807,S,CALUMET,AVE,60653,41.82550713,-87.61824853,36.33,Indiana,0.41,15.54,14.75
2127 W 54TH ST chicago IL 60609,2127,W,54TH,ST,60609,41.79571957,-87.67789194,43.93,Western-Orange,0.92,7.49,8.49
5207 S WOLCOTT AVE chicago IL 60609,5207,S,WOLCOTT,AVE,60609,41.79931142,-87.6720252,31.13,Western-Orange,0.96,8.74,10.09
4350 S DR MARTIN LUTHER KING JR DR chicago IL 60653,4350,S,DR MARTIN LUTHER KING JR,DR,60653,41.81663501,-87.61679234,37.63,43rd,0.15,12.73,10.42
3953 S PRINCETON AVE chicago IL 60609,3953,S,PRINCETON,AVE,60609,41.82266493,-87.63320876,28.74,Sox-35th,0.81,9.95,11.02
2245 W PERSHING RD chicago IL 60609,2245,W,PERSHING,RD,60609,41.82303089,-87.68150882,41.39,35th/Archer,0.59,10.97,10.63
3837 S CALUMET AVE chicago IL 60653,3837,S,CALUMET,AVE,60653,41.82495601,-87.61823742,36.67,Indiana,0.37,15.5,14.65
5351 S SHIELDS AVE chicago IL 60609,5351,S,SHIELDS,AVE,60609,41.79717187,-87.63428553,44.06,Garfield-Red,0.27,5.37,5.69
4201 S NORMAL AVE chicago IL 60609,4201,S,NORMAL,AVE,60609,41.8180828,-87.6384708,42.42,47th-Red,0.89,8.23,8.54
535 W 43RD PL chicago IL 60609,535,W,43RD,PL,60609,41.81537206,-87.63959794,43.07,47th-Red,0.76,8.1,8.46
1824 S DESPLAINES ST chicago IL 60616,1824,S,DESPLAINES,ST,60616,41.85731825,-87.64280847,40.16,Halsted Street Metra,0.41,14.22,10.5
4235 S CHAMPLAIN AVE chicago IL 60653,4235,S,CHAMPLAIN,AVE,60653,41.81790826,-87.61044251,28.6,43rd,0.61,13.01,10.78
4874 S DAMEN AVE chicago IL 60609,4874,S,DAMEN,AVE,60609,41.8053292,-87.67460538,34.39,Western-Orange,0.66,11.81,12.1
4436 S WENTWORTH AVE chicago IL 60609,4436,S,WENTWORTH,AVE,60609,41.81364122,-87.63112038,33.14,47th-Red,0.31,8.84,10.4
4735 S PRINCETON AVE chicago IL 60609,4735,S,PRINCETON,AVE,60609,41.80841375,-87.63335071,37.88,47th-Red,0.24,6.99,9.47
1940 S JEFFERSON ST chicago IL 60616,1940,S,JEFFERSON,ST,60616,41.85565979,-87.64179579,38.02,Halsted Street Metra,0.57,14.64,12.21
5413 S SHIELDS AVE chicago IL 60609,5413,S,SHIELDS,AVE,60609,41.79589174,-87.63425323,44.04,Garfield-Red,0.22,5.21,5.55
2116 W GARFIELD BLVD chicago IL 60609,2116,W,GARFIELD,BLVD,60609,41.79388571,-87.67716043,42.95,Western-Orange,1.1,7.16,8.07
847 W 51ST PL chicago IL 60609,847,W,51ST,PL,60609,41.80065553,-87.64647344,37.71,Garfield-Red,1.17,6.15,6.25
510 E 45TH ST chicago IL 60653,510,E,45TH,ST,60653,41.81306255,-87.61357074,51.05,43rd,0.49,13.1,10.33
512 E 45TH ST chicago IL 60653,512,E,45TH,ST,60653,41.81306374,-87.613497,51.36,43rd,0.5,13.13,10.33
5144 S THROOP ST chicago IL 60609,5144,S,THROOP,ST,60609,41.80060749,-87.657468,39.78,Western-Orange,1.87,7.42,8.09
4842 S THROOP ST chicago IL 60609,4842,S,THROOP,ST,60609,41.80610702,-87.65760847,36.08,Western-Orange,1.83,8.44,8.58
3700 S WOOD ST chicago IL 60609,3700,S,WOOD,ST,60609,41.82679605,-87.67030561,39.14,35th/Archer,0.75,12.3,12.09
3619 S MICHIGAN AVE chicago IL 60653,3619,S,MICHIGAN,AVE,60653,41.82908669,-87.62320764,25.39,35-Bronzeville-IIT,0.3,16.88,15.92
1856 W 46TH ST chicago IL 60609,1856,W,46TH,ST,60609,41.81036355,-87.67152861,33.61,Western-Orange,1.02,15.73,16.17
3321 S CALUMET AVE chicago IL 60616,3321,S,CALUMET,AVE,60616,41.83435067,-87.61818599,33.6,35-Bronzeville-IIT,0.58,20.97,22.18
2039 W 52ND ST chicago IL 60609,2039,W,52ND,ST,60609,41.79893227,-87.6754609,31.27,Western-Orange,0.79,8.29,9.79
537 W 44TH PL chicago IL 60609,537,W,44TH,PL,60609,41.81355149,-87.63926987,43.5,47th-Red,0.65,8.12,8.24
4323 S HONORE ST chicago IL 60609,4323,S,HONORE,ST,60609,41.81539745,-87.67122147,32.94,Western-Orange,1.34,17.33,18.15
540 W CULLERTON ST chicago IL 60616,540,W,CULLERTON,ST,60616,41.85569111,-87.64050032,37.55,Halsted Street Metra,0.63,14.63,12.38
4834 S DAMEN AVE chicago IL 60609,4834,S,DAMEN,AVE,60609,41.80606264,-87.67462446,34.02,Western-Orange,0.66,12.51,12.62
5300 S MAY ST chicago IL 60609,5300,S,MAY,ST,60609,41.79782575,-87.65375381,43.31,Garfield-Red,1.58,6.59,7.29
5427 S MORGAN ST chicago IL 60609,5427,S,MORGAN,ST,60609,41.79520134,-87.65004327,39.37,Garfield-Red,1.31,6.4,7.47
5301 S MARSHFIELD AVE chicago IL 60609,5301,S,MARSHFIELD,AVE,60609,41.7976425,-87.66589461,37.3,Western-Orange,1.41,7.74,8.96
5307 S MARSHFIELD AVE chicago IL 60609,5307,S,MARSHFIELD,AVE,60609,41.79753216,-87.66589172,37.32,Western-Orange,1.41,7.73,8.97
1058 W GARFIELD BLVD chicago IL 60609,1058,W,GARFIELD,BLVD,60609,41.79422089,-87.6516926,39.5,Garfield-Red,1.42,6.72,7.89
5305 S EMERALD AVE chicago IL 60609,5305,S,EMERALD,AVE,60609,41.79787392,-87.64403234,38.53,Garfield-Red,0.92,5.81,6.05
5304 S DAMEN AVE chicago IL 60609,5304,S,DAMEN,AVE,60609,41.79745408,-87.67440279,34.43,Western-Orange,0.94,8.04,9.41
4700 S MARSHFIELD AVE chicago IL 60609,4700,S,MARSHFIELD,AVE,60609,41.80858588,-87.66618354,31.28,Western-Orange,1.29,14,14.44
2312 W 35TH PL chicago IL 60609,2312,W,35TH,PL,60609,41.82931092,-87.68279926,42.03,35th/Archer,0.15,9.99,10.19
557 E 45TH ST chicago IL 60653,557,E,45TH,ST,60653,41.8130835,-87.6122624,54.47,43rd,0.56,13.67,10.56
