Address,Street Number,Street Direction,Street Name,Street Type,Zip Code,Lat,Lot,HT Score,Nearest Transit,Distance to Nearest Transity,Density 2010,Density 2012
4002 S ELLIS AVE chicago IL 60653,4002,S,ELLIS,AVE,60653,41.82189108,-87.60377807,48.43,43rd,1.17,11.95,10
547 E 45TH ST chicago IL 60653,547,E,45TH,ST,60653,41.81308045,-87.61243374,54.28,43rd,0.55,13.58,10.51
5318 S WOLCOTT AVE chicago IL 60609,5318,S,WOLCOTT,AVE,60609,41.79729117,-87.67196637,34.96,Western-Orange,1.07,8.04,9.27
443 E 45TH PL chicago IL 60653,443,E,45TH,PL,60653,41.81212805,-87.61531298,46.04,47th-Green,0.36,11.83,10.68
5113 S HALSTED ST chicago IL 60609,5113,S,HALSTED,ST,60609,41.80120093,-87.64533503,37.47,Garfield-Red,1.12,6.15,6.04
4627 S ST LAWRENCE AVE chicago IL 60653,4627,S,ST LAWRENCE,AVE,60653,41.81051236,-87.61148102,42.67,47th-Green,0.52,14.89,12.39
4122 S BERKELEY AVE chicago IL 60653,4122,S,BERKELEY,AVE,60653,41.8194518,-87.60148664,42.17,47th St. (Kenwood) Metra,1.14,13.14,10.69
5211 S MARSHFIELD AVE chicago IL 60609,5211,S,MARSHFIELD,AVE,60609,41.79927839,-87.66594078,37.26,Western-Orange,1.34,8.37,9.28
2111 W 50TH ST chicago IL 60609,2111,W,50TH,ST,60609,41.80302592,-87.67737105,38.37,Western-Orange,0.48,9.76,10.47
4413 S WALLACE ST chicago IL 60609,4413,S,WALLACE,ST,60609,41.81405491,-87.64080806,45.69,47th-Red,0.77,8.21,8.51
4227 S PRAIRIE AVE chicago IL 60653,4227,S,PRAIRIE,AVE,60653,41.81789837,-87.61982698,46.81,43rd,0.14,12.78,11.5
3701 S WOLCOTT AVE chicago IL 60609,3701,S,WOLCOTT,AVE,60609,41.82674942,-87.67273892,35.47,35th/Archer,0.6,11.97,11.98
500 E 47TH ST chicago IL 60653,500,E,47TH,ST,60653,41.80942537,-87.61385241,35.73,47th-Green,0.34,13.15,11.6
2242 W 54TH PL chicago IL 60609,2242,W,54TH,PL,60609,41.79477231,-87.6809785,38.12,Western-Orange,0.93,7.9,8.18
930 E 42ND PL chicago IL 60653,930,E,42ND,PL,60653,41.81798424,-87.60348535,61.59,43rd,1.08,13.17,10.41
823 W 49TH PL chicago IL 60609,823,W,49TH,PL,60609,41.80430555,-87.64598046,40.82,47th-Red,1.18,6.35,6.01
417 E 45TH PL chicago IL 60653,417,E,45TH,PL,60653,41.81211598,-87.61597155,45.42,47th-Green,0.33,11.63,10.59
5159 S DAMEN AVE chicago IL 60609,5159,S,DAMEN,AVE,60609,41.79950727,-87.67446328,30.73,Western-Orange,0.81,8.71,10.27
5257 S MARSHFIELD AVE chicago IL 60609,5257,S,MARSHFIELD,AVE,60609,41.79843298,-87.66591684,37.23,Western-Orange,1.37,7.96,9.02
4353 S WELLS ST chicago IL 60609,4353,S,WELLS,ST,60609,41.8151738,-87.63233345,34.21,47th-Red,0.46,8.41,9.3
3900 S STATE ST chicago IL 60609,3900,S,STATE,ST,60609,41.82371376,-87.62642225,28.05,Indiana,0.39,12.54,12.13
5317 S EMERALD AVE chicago IL 60609,5317,S,EMERALD,AVE,60609,41.7976538,-87.64402663,39.03,Garfield-Red,0.91,5.8,6.08
5319 S EMERALD AVE chicago IL 60609,5319,S,EMERALD,AVE,60609,41.79761729,-87.64402556,39.11,Garfield-Red,0.91,5.8,6.08
725 W 54TH PL chicago IL 60609,725,W,54TH,PL,60609,41.79524284,-87.64336645,40.35,Garfield-Red,0.84,5.67,6.41
4644 S ST LAWRENCE AVE chicago IL 60653,4644,S,ST LAWRENCE,AVE,60653,41.81019644,-87.6114732,40.7,47th-Green,0.52,14.94,12.56
733 W 47TH PL chicago IL 60609,733,W,47TH,PL,60609,41.8079807,-87.6438948,40.78,47th-Red,0.92,7.8,7.39
5426 S DEARBORN ST chicago IL 60609,5426,S,DEARBORN,ST,60609,41.79592368,-87.62683391,28.37,Garfield-Red,0.3,7.47,7.11
5430 S DEARBORN ST chicago IL 60609,5430,S,DEARBORN,ST,60609,41.79585287,-87.62683138,28.69,Garfield-Red,0.3,7.48,7.12
4605 S LANGLEY AVE chicago IL 60653,4605,S,LANGLEY,AVE,60653,41.81122799,-87.60902403,36.72,47th-Green,0.7,15.83,12.18
3519 S WINCHESTER AVE chicago IL 60609,3519,S,WINCHESTER,AVE,60609,41.83005358,-87.67405296,34.91,35th/Archer,0.46,11.88,11.73
5439 S MORGAN ST chicago IL 60609,5439,S,MORGAN,ST,60609,41.79492056,-87.65003562,39.89,Garfield-Red,1.31,6.43,7.53
3659 S UNION AVE chicago IL 60609,3659,S,UNION,AVE,60609,41.82786944,-87.64359447,40.33,Sox-35th,0.95,11.7,11.46
5257 S EMERALD AVE chicago IL 60609,5257,S,EMERALD,AVE,60609,41.79873684,-87.64405133,36.44,Garfield-Red,0.94,5.88,5.97
4331 S INDIANA AVE chicago IL 60653,4331,S,INDIANA,AVE,60653,41.81599638,-87.62139207,40.16,43rd,0.17,12.27,12.52
5344 S PAULINA ST chicago IL 60609,5344,S,PAULINA,ST,60609,41.79683854,-87.66709084,37.68,Western-Orange,1.37,7.7,8.96
3639 S MICHIGAN AVE chicago IL 60653,3639,S,MICHIGAN,AVE,60653,41.82861269,-87.62319564,25.17,35-Bronzeville-IIT,0.34,15.82,15.09
4125 S INDIANA AVE chicago IL 60653,4125,S,INDIANA,AVE,60653,41.81971434,-87.62149432,33.29,Indiana,0.19,13.65,12.15
4561 S WABASH AVE chicago IL 60653,4561,S,WABASH,AVE,60653,41.81184359,-87.62453033,40.18,47th-Green,0.46,10.83,11.34
4321 S HONORE ST chicago IL 60609,4321,S,HONORE,ST,60609,41.81543423,-87.67122256,32.92,Western-Orange,1.34,17.36,18.18
4925 S LOOMIS BLVD chicago IL 60609,4925,S,LOOMIS,BLVD,60609,41.80429256,-87.65999125,38.47,Western-Orange,1.66,8.6,9.07
4356 S PRINCETON AVE chicago IL 60609,4356,S,PRINCETON,AVE,60609,41.81511897,-87.63353491,34.79,47th-Red,0.48,7.93,8.9
4527 S INDIANA AVE chicago IL 60653,4527,S,INDIANA,AVE,60653,41.81245886,-87.62129683,43.56,47th-Green,0.35,11.69,11.48
4200 S ELLIS AVE chicago IL 60653,4200,S,ELLIS,AVE,60653,41.81800217,-87.6018872,46.42,47th St. (Kenwood) Metra,1.06,13.74,10.93
3722 S HONORE ST chicago IL 60609,3722,S,HONORE,ST,60609,41.8263764,-87.6715029,36.72,35th/Archer,0.69,12.31,12.16
3649 S LEAVITT ST chicago IL 60609,3649,S,LEAVITT,ST,60609,41.82761892,-87.68008797,41.29,35th/Archer,0.17,10.89,10.81
601 E 45TH ST chicago IL 60653,601,E,45TH,ST,60653,41.81309698,-87.61150642,51.93,43rd,0.61,14.04,10.75
4437 S SHIELDS AVE chicago IL 60609,4437,S,SHIELDS,AVE,60609,41.81354569,-87.63463616,35.16,47th-Red,0.39,8.04,9.01
5343 S PEORIA ST chicago IL 60609,5343,S,PEORIA,ST,60609,41.7967493,-87.6476799,38.21,Garfield-Red,1.15,6.25,6.83
4527 S VINCENNES AVE chicago IL 60653,4527,S,VINCENNES,AVE,60653,41.8122704,-87.61390006,49.66,47th-Green,0.44,12.63,10.36
4738 S RACINE AVE chicago IL 60609,4738,S,RACINE,AVE,60609,41.80771694,-87.65522001,35.9,47th-Red,1.7,8.83,8.77
741 W 50TH PL chicago IL 60609,741,W,50TH,PL,60609,41.80251707,-87.64394214,42.04,Garfield-Red,1.1,6.02,5.6
5018 S WESTERN AVE chicago IL 60609,5018,S,WESTERN,AVE,60609,41.80263332,-87.6842632,39.83,Western-Orange,0.18,8.49,8.86
461 E 41ST ST chicago IL 60653,461,E,41ST,ST,60653,41.82027351,-87.61426389,28.44,43rd,0.48,13.01,11.22
5436 S LOOMIS BLVD chicago IL 60609,5436,S,LOOMIS,BLVD,60609,41.7949407,-87.65975206,38.5,Ashland/63rd,1.52,6.94,8.22
5422 S HERMITAGE AVE chicago IL 60609,5422,S,HERMITAGE,AVE,60609,41.79540604,-87.66826765,37.95,Western-Orange,1.38,7.54,8.83
4018 S INDIANA AVE chicago IL 60653,4018,S,INDIANA,AVE,60653,41.82168043,-87.62154818,34.13,Indiana,0.01,13.91,12.79
4363 S PRINCETON AVE chicago IL 60609,4363,S,PRINCETON,AVE,60609,41.81501412,-87.63353201,35.14,47th-Red,0.47,7.94,8.9
5300 S RACINE AVE chicago IL 60609,5300,S,RACINE,AVE,60609,41.79781023,-87.65495784,43.02,Garfield-Red,1.66,6.79,7.49
5110 S LOWE AVE chicago IL 60609,5110,S,LOWE,AVE,60609,41.80146616,-87.64166457,39,Garfield-Red,0.92,6.06,5.53
1639 W 38TH PL chicago IL 60609,1639,W,38TH,PL,60609,41.82410134,-87.66644845,42.03,35th/Archer,1.09,13.2,13.11
4006 S ELLIS AVE chicago IL 60653,4006,S,ELLIS,AVE,60653,41.82178501,-87.60371213,48.43,43rd,1.17,11.97,9.96
4528 S UNION AVE chicago IL 60609,4528,S,UNION,AVE,60609,41.81204557,-87.64319976,43.95,47th-Red,0.86,8.07,8.24
5420 S HOYNE AVE chicago IL 60609,5420,S,HOYNE,AVE,60609,41.79511636,-87.67676925,44.46,Western-Orange,1.01,7.31,8.49
5344 S WINCHESTER AVE chicago IL 60609,5344,S,WINCHESTER,AVE,60609,41.79680308,-87.67316863,36.92,Western-Orange,1.04,7.96,9.15
5111 S HALSTED ST chicago IL 60609,5111,S,HALSTED,ST,60609,41.80125994,-87.6453366,37.54,Garfield-Red,1.12,6.15,6.02
4343 S BERKELEY AVE chicago IL 60653,4343,S,BERKELEY,AVE,60653,41.81609322,-87.60061453,50.09,47th St. (Kenwood) Metra,0.87,14.97,11.32
3517 S HALSTED ST chicago IL 60609,3517,S,HALSTED,ST,60609,41.83075041,-87.64610615,39.56,Sox-35th,1.07,13.49,13.23
4342 S DR MARTIN LUTHER KING JR DR chicago IL 60653,4342,S,DR MARTIN LUTHER KING JR,DR,60653,41.81586593,-87.61677047,41.58,43rd,0.17,12.99,10.87
449 W 45TH ST chicago IL 60609,449,W,45TH,ST,60609,41.81266432,-87.63705734,37.2,47th-Red,0.48,8.09,8.3
4345 S ST LAWRENCE AVE chicago IL 60653,4345,S,ST LAWRENCE,AVE,60653,41.8159036,-87.61161904,44.07,43rd,0.51,13.23,10.57
1854 W GARFIELD BLVD chicago IL 60609,1854,W,GARFIELD,BLVD,60609,41.79395184,-87.6710639,40.38,Western-Orange,1.33,7.25,8.52
5343 S MAY ST chicago IL 60609,5343,S,MAY,ST,60609,41.79703556,-87.65373465,40.59,Garfield-Red,1.57,6.64,7.48
5348 S MARSHFIELD AVE chicago IL 60609,5348,S,MARSHFIELD,AVE,60609,41.79677737,-87.66587241,37.22,Western-Orange,1.45,7.67,8.95
1319 W 51ST ST chicago IL 60609,1319,W,51ST,ST,60609,41.80140662,-87.65823222,38.94,Western-Orange,1.81,7.81,8.32
5245 S SANGAMON ST chicago IL 60609,5245,S,SANGAMON,ST,60609,41.79884577,-87.64891817,36.79,Garfield-Red,1.27,6.13,6.61
4529 S INDIANA AVE chicago IL 60653,4529,S,INDIANA,AVE,60653,41.81242181,-87.62129614,43.55,47th-Green,0.34,11.68,11.47
4446 S PRAIRIE AVE chicago IL 60653,4446,S,PRAIRIE,AVE,60653,41.81393478,-87.61971977,45.64,43rd,0.24,12.31,11.77
5140 S LOWE AVE chicago IL 60609,5140,S,LOWE,AVE,60609,41.80091425,-87.64165804,36.58,Garfield-Red,0.89,6.04,5.61
5030 S THROOP ST chicago IL 60609,5030,S,THROOP,ST,60609,41.80268643,-87.6575209,38.19,Western-Orange,1.84,7.58,8.05
5136 S PAULINA ST chicago IL 60609,5136,S,PAULINA,ST,60609,41.80063293,-87.66719467,37.83,Western-Orange,1.22,9.12,10.16
4628 S DREXEL BLVD chicago IL 60653,4628,S,DREXEL,BLVD,60653,41.81088318,-87.60392413,30.87,47th St. (Kenwood) Metra,0.87,13.94,10.67
5226 S LOWE AVE chicago IL 60609,5226,S,LOWE,AVE,60609,41.79935208,-87.64163477,34.62,Garfield-Red,0.81,5.74,5.79
4821 S WOLCOTT AVE chicago IL 60609,4821,S,WOLCOTT,AVE,60609,41.80632774,-87.67219996,33.35,Western-Orange,0.83,13.16,13.38
5400 S HERMITAGE AVE chicago IL 60609,5400,S,HERMITAGE,AVE,60609,41.79581253,-87.66827848,38.04,Western-Orange,1.36,7.58,8.88
5417 S SHIELDS AVE chicago IL 60609,5417,S,SHIELDS,AVE,60609,41.79578085,-87.6342504,43.96,Garfield-Red,0.22,5.18,5.55
5024 S UNION AVE chicago IL 60609,5024,S,UNION,AVE,60609,41.80271522,-87.64293838,43.21,Garfield-Red,1.06,5.98,5.49
5129 S EMERALD AVE chicago IL 60609,5129,S,EMERALD,AVE,60609,41.80107257,-87.6441014,36.64,Garfield-Red,1.04,6.15,5.95
644 E OAKWOOD BLVD chicago IL 60653,644,E,OAKWOOD,BLVD,60653,41.82269709,-87.61087258,31.79,Indiana,0.73,14.58,14.1
723 W 54TH ST chicago IL 60609,723,W,54TH,ST,60609,41.7961563,-87.64364674,40.65,Garfield-Red,0.87,5.72,6.22
5402 S HONORE ST chicago IL 60609,5402,S,HONORE,ST,60609,41.79578155,-87.67070884,39.05,Western-Orange,1.23,7.56,8.79
3803 S HERMITAGE AVE chicago IL 60609,3803,S,HERMITAGE,AVE,60609,41.82488871,-87.66903228,41.12,35th/Archer,0.9,12.7,12.99
5200 S MORGAN ST chicago IL 60609,5200,S,MORGAN,ST,60609,41.79969429,-87.65015657,39.63,Garfield-Red,1.37,6.18,6.5
823 W 50TH ST chicago IL 60609,823,W,50TH,ST,60609,41.80339675,-87.64595704,40.82,47th-Red,1.22,6.13,5.84
3943 S INDIANA AVE chicago IL 60653,3943,S,INDIANA,AVE,60653,41.82301114,-87.62158256,37.48,Indiana,0.12,15.15,14.05
5429 S MARSHFIELD AVE chicago IL 60609,5429,S,MARSHFIELD,AVE,60609,41.79530367,-87.66583254,36.62,Western-Orange,1.52,7.48,8.83
4737 S PRINCETON AVE chicago IL 60609,4737,S,PRINCETON,AVE,60609,41.80837587,-87.63334965,37.93,47th-Red,0.25,6.97,9.42
5012 S MARSHFIELD AVE chicago IL 60609,5012,S,MARSHFIELD,AVE,60609,41.80290746,-87.66604426,36.51,Western-Orange,1.25,10.17,10.89
444 E 42ND ST chicago IL 60653,444,E,42ND,ST,60653,41.81845852,-87.6153295,28.28,43rd,0.32,13.12,11.05
3437 S PRAIRIE AVE chicago IL 60616,3437,S,PRAIRIE,AVE,60616,41.83214906,-87.62057203,32.54,35-Bronzeville-IIT,0.37,19.57,20.45
2215 S MICHIGAN AVE chicago IL 60616,2215,S,MICHIGAN,AVE,60616,41.8526001,-87.62380253,45.6,Cermak-Chinatown,0.5,27.46,20.26
346 W 50TH ST chicago IL 60609,346,W,50TH,ST,60609,41.80361706,-87.63414881,38.46,47th-Red,0.66,6.05,7.9
5027 S RACINE AVE chicago IL 60609,5027,S,RACINE,AVE,60609,41.80277576,-87.65509258,38.21,Garfield-Red,1.79,7.41,7.84
5301 S RACINE AVE chicago IL 60609,5301,S,RACINE,AVE,60609,41.79779184,-87.6549573,42.96,Garfield-Red,1.66,6.79,7.49
4226 S WENTWORTH AVE chicago IL 60609,4226,S,WENTWORTH,AVE,60609,41.81739557,-87.6312199,27.05,47th-Red,0.66,9.39,10.48
5134 S WOLCOTT AVE chicago IL 60609,5134,S,WOLCOTT,AVE,60609,41.80063149,-87.67205909,35.57,Western-Orange,0.9,9.17,10.49
928 E 42ND PL chicago IL 60653,928,E,42ND,PL,60653,41.81798371,-87.60353158,62.04,43rd,1.08,13.15,10.4
5431 S SEELEY AVE chicago IL 60609,5431,S,SEELEY,AVE,60609,41.79516673,-87.6755548,44.15,Western-Orange,1.05,7.48,8.7
5440 S HERMITAGE AVE chicago IL 60609,5440,S,HERMITAGE,AVE,60609,41.79507311,-87.66825899,38.15,Western-Orange,1.4,7.48,8.78
5323 S PRINCETON AVE chicago IL 60609,5323,S,PRINCETON,AVE,60609,41.79772412,-87.63308193,44.06,Garfield-Red,0.25,5.66,5.74
4215 S UNION AVE chicago IL 60609,4215,S,UNION,AVE,60609,41.81738845,-87.64332485,55.19,47th-Red,1.08,8.71,9.26
5218 S LAFLIN ST chicago IL 60609,5218,S,LAFLIN,ST,60609,41.79919813,-87.66229043,37.12,Western-Orange,1.58,7.84,8.84
3840 S HONORE ST chicago IL 60609,3840,S,HONORE,ST,60609,41.82374054,-87.6714284,34.95,35th/Archer,0.82,13.03,13.46
4938 S PRINCETON AVE chicago IL 60609,4938,S,PRINCETON,AVE,60609,41.80476944,-87.63325462,38.44,47th-Red,0.54,5.86,7.82
3852 S CALUMET AVE chicago IL 60653,3852,S,CALUMET,AVE,60653,41.82468051,-87.6182319,36.84,Indiana,0.35,15.44,14.53
3803 S CALUMET AVE chicago IL 60653,3803,S,CALUMET,AVE,60653,41.82558041,-87.61824992,36.28,Indiana,0.42,15.53,14.75
3832 S CALUMET AVE chicago IL 60653,3832,S,CALUMET,AVE,60653,41.82504768,-87.61823934,36.6,Indiana,0.38,15.52,14.68
3811 S GILES AVE chicago IL 60653,3811,S,GILES,AVE,60653,41.82542322,-87.61921487,46.45,Indiana,0.37,15.66,14.92
5238 S HERMITAGE AVE chicago IL 60609,5238,S,HERMITAGE,AVE,60609,41.79876324,-87.66835961,38.28,Western-Orange,1.21,8.49,9.54
1712 S PRAIRIE AVE chicago IL 60616,1712,S,PRAIRIE,AVE,60616,41.85905116,-87.6207945,51.49,18th St. Metra,0.2,40.08,20.22
730 W 48TH PL chicago IL 60609,730,W,48TH,PL,60609,41.80616196,-87.64377396,44.27,47th-Red,0.97,7.1,6.37
1702 S PRAIRIE AVE chicago IL 60616,1702,S,PRAIRIE,AVE,60616,41.85918098,-87.62079746,51.26,18th St. Metra,0.21,40.23,20.21
5202 S HERMITAGE AVE chicago IL 60609,5202,S,HERMITAGE,AVE,60609,41.79942774,-87.66837804,38.28,Western-Orange,1.18,8.79,9.79
5204 S HERMITAGE AVE chicago IL 60609,5204,S,HERMITAGE,AVE,60609,41.79939069,-87.66837696,38.28,Western-Orange,1.18,8.77,9.78
5014 S HERMITAGE AVE chicago IL 60609,5014,S,HERMITAGE,AVE,60609,41.80285036,-87.66846603,37.72,Western-Orange,1.09,10.37,11.29
5430 S WINCHESTER AVE chicago IL 60609,5430,S,WINCHESTER,AVE,60609,41.79522892,-87.67312095,40.73,Western-Orange,1.15,7.52,8.67
4506 S ST LAWRENCE AVE chicago IL 60653,4506,S,ST LAWRENCE,AVE,60653,41.81298633,-87.61154142,52.14,43rd,0.61,14.09,10.78
5141 S MAY ST chicago IL 60609,5141,S,MAY,ST,60609,41.80074791,-87.65382792,47.17,Garfield-Red,1.64,6.72,7.08
5110 S CARPENTER ST chicago IL 60609,5110,S,CARPENTER,ST,60609,41.80131517,-87.65141066,42.91,Garfield-Red,1.5,6.31,6.56
5125 S CARPENTER ST chicago IL 60609,5125,S,CARPENTER,ST,60609,41.80103686,-87.65140481,43.38,Garfield-Red,1.49,6.25,6.56
5132 S CARPENTER ST chicago IL 60609,5132,S,CARPENTER,ST,60609,41.80090677,-87.65140178,43.56,Garfield-Red,1.49,6.26,6.59
5305 S CARPENTER ST chicago IL 60609,5305,S,CARPENTER,ST,60609,41.7977683,-87.65132588,41.27,Garfield-Red,1.41,6.21,6.89
5001 S WESTERN AVE chicago IL 60609,5001,S,WESTERN,AVE,60609,41.80294539,-87.68427142,39.83,Western-Orange,0.15,8.59,8.97
2128 W GARFIELD BLVD chicago IL 60609,2128,W,GARFIELD,BLVD,60609,41.79388205,-87.67747951,42.86,Western-Orange,1.09,7.21,8.05
3638 S GILES AVE chicago IL 60653,3638,S,GILES,AVE,60653,41.82851684,-87.61927815,35.23,35-Bronzeville-IIT,0.54,16.96,16.82
2321 W 50TH PL chicago IL 60609,2321,W,50TH,PL,60609,41.80205505,-87.68220707,37.87,Western-Orange,0.26,8.79,9.17
5120 S ABERDEEN ST chicago IL 60609,5120,S,ABERDEEN,ST,60609,41.80111385,-87.65261983,45.84,Garfield-Red,1.58,6.5,6.79
5316 S CARPENTER ST chicago IL 60609,5316,S,CARPENTER,ST,60609,41.79756602,-87.65132106,40.84,Garfield-Red,1.41,6.25,6.94
1335 W 49TH PL chicago IL 60609,1335,W,49TH,PL,60609,41.80412234,-87.65841595,37.59,Western-Orange,1.77,8.19,8.4
5133 S MAY ST chicago IL 60609,5133,S,MAY,ST,60609,41.80088816,-87.65383194,46.8,Garfield-Red,1.65,6.74,7.1
4332 S DR MARTIN LUTHER KING JR DR chicago IL 60653,4332,S,DR MARTIN LUTHER KING JR,DR,60653,41.816049,-87.61677576,40.59,43rd,0.16,12.92,10.72
4330 S DR MARTIN LUTHER KING JR DR chicago IL 60653,4330,S,DR MARTIN LUTHER KING JR,DR,60653,41.81608578,-87.61677682,40.39,43rd,0.16,12.91,10.7
4804 S COTTAGE GROVE AVE chicago IL 60651, 4804, S, COTTAGE GROVE, AVE,60651,41.807560, -87.606649,40.39,47th,0.16,12.91,10.7